Shazam Library
Index,TagTime,Title,Artist,URL,TrackKey
1,2023-04-02,"Mtg - Insurdecedora 3.0","DJ LZIN",https://www.shazam.com/track/647182029/mtg-insurdecedora-3-0,647182029
2,2023-04-02,"As the World Caves In (Wuki Remix)","Sarah Cothran & Wuki",https://www.shazam.com/track/581960541/as-the-world-caves-in-wuki-remix,581960541
3,2023-04-02,"Hometown","twenty one pilots",https://www.shazam.com/track/263074259/hometown,263074259
4,2023-04-02,"Clandestina","Salar",https://www.shazam.com/track/504623312/clandestina,504623312
5,2023-04-02,"Something In the Way","Nirvana",https://www.shazam.com/track/54307684/something-in-the-way,54307684
6,2023-03-17,"Bangarang (feat. Sirah)","Skrillex",https://www.shazam.com/track/54865869/bangarang-feat-sirah,54865869
7,2023-03-17,"Bonnona","DJ JNK, SHAN PUTHA & Moniyo",https://www.shazam.com/track/578651369/bonnona,578651369
8,2022-10-30,"Beat Sn4p (Viral Tiktok)","Sr. Nescau",https://www.shazam.com/track/630373199/beat-sn4p-viral-tiktok,630373199
9,2022-10-29,"MTG - MALDIÇÃO ETERNA 1.0 (JOKA DA)","Swuaï",https://www.shazam.com/track/622272182/mtg-maldi%C3%A7%C3%A3o-eterna-1-0-joka-da,622272182
10,2022-10-28,"Limitless","Martin Garrix & Mesto",https://www.shazam.com/track/609410353/limitless,609410353
11,2022-10-24,"NEON BLADE","MoonDeity",https://www.shazam.com/track/616490430/neon-blade,616490430
12,2022-10-24,"The Realest (Short Ver)","Emifav",https://www.shazam.com/track/621064941/the-realest-short-ver,621064941
13,2022-10-20,"All Good Things (Come To An End)","Nelly Furtado",https://www.shazam.com/track/44336790/all-good-things-come-to-an-end,44336790
14,2022-10-19,"NEON BLADE","MoonDeity",https://www.shazam.com/track/616490430/neon-blade,616490430
15,2022-10-09,"drivers license","Olivia Rodrigo",https://www.shazam.com/track/549952578/drivers-license,549952578
16,2022-09-25,"Mtg Maldicao Eterna 1.0 / Joker Fire Force","Axim",https://www.shazam.com/track/622365279/mtg-maldicao-eterna-10-joker-fire-force,622365279
17,2022-09-17,"death bed (feat. beabadoobee) [coffee for your head]","Powfu",https://www.shazam.com/track/457848911/death-bed-coffee-for-your-head-feat-beabadoobee,457848911
18,2022-09-17,"Can't Take My Eyes Off You","Joseph Vincent",https://www.shazam.com/track/330131882/cant-take-my-eyes-off-you,330131882
19,2022-09-06,"Lokiverse (Background Score)","Anirudh Ravichander",https://www.shazam.com/track/622654024/lokiverse-background-score,622654024
20,2022-09-05,"Somebody That I Used to Know (feat. Kimbra)","Gotye",https://www.shazam.com/track/55638435/somebody-that-i-used-to-know-feat-kimbra,55638435
21,2022-08-29,"Shootout (Sped Up)","Izzamuzzic & Julien Marchal",https://www.shazam.com/track/617294554/shootout-sped-up,617294554
22,2022-08-26,"Kimnotyze (feat. Lil' Kim & Trooper Da Don)","DJ Tomekk",https://www.shazam.com/track/20082309/kimnotyze-feat-lil-kim-trooper-da-don,20082309
23,2022-08-23,"Cancan","As Des As",https://www.shazam.com/track/288706842/cancan,288706842
24,2022-08-23,"Viramaye","Ridma Weerawardena & Thilina Boralessa",https://www.shazam.com/track/606046565/viramaye,606046565
25,2022-08-23,"Can You Feel My Heart","Bring Me The Horizon",https://www.shazam.com/track/85594109/can-you-feel-my-heart,85594109
26,2022-08-22,"R&B 2017","DJ Jonathan",https://www.shazam.com/track/355336173/r-b-2017,355336173
27,2022-08-10,"Experience","Ludovico Einaudi, Daniel Hope & I Virtuosi Italiani",https://www.shazam.com/track/78484595/experience,78484595
28,2022-07-31,"Show Me Your Back","FindMyName",https://www.shazam.com/track/620982211/show-me-your-back,620982211
29,2022-07-25,"Love Story","Pedrox",https://www.shazam.com/track/623029825/love-story,623029825
30,2022-07-12,"Safe And Sound","Capital Cities",https://www.shazam.com/track/90166754/safe-and-sound,90166754
31,2022-07-01,"No Reason (feat. Truwer)","Miyagi & Эндшпиль",https://www.shazam.com/track/370360964/no-reason-feat-truwer,370360964
32,2022-07-01,"Did I Stutter (Prolly My Spookiest Beat)","Exteezy",https://www.shazam.com/track/614263508/did-i-stutter-prolly-my-spookiest-beat,614263508
33,2022-07-01,"Prolly My Spookiest Beat","prodby668",https://www.shazam.com/track/606789494/prolly-my-spookiest-beat,606789494
34,2022-06-28,"Espero Seas Feliz","Récords 205",https://www.shazam.com/track/605643629/espero-seas-feliz,605643629
35,2022-06-28,"Despacito","Luis Fonsi & Daddy Yankee",https://www.shazam.com/track/337807025/despacito,337807025
36,2022-06-28,"After Dark","Mr.Kitty",https://www.shazam.com/track/140516014/after-dark,140516014
37,2022-06-28,"The Realest (Short Ver)","Emifav",https://www.shazam.com/track/621064941/the-realest-short-ver,621064941
38,2022-06-28,"Money Rain (Phonk Remix)","VTORNIK",https://www.shazam.com/track/573716826/money-rain-phonk-remix,573716826
39,2022-06-28,"Time for Africa","Jack'sauce",https://www.shazam.com/track/147653239/-,147653239
40,2022-06-28,"Weekend","Jordan Burns",https://www.shazam.com/track/365463304/weekend,365463304
41,2022-06-28,"Cornfield Chase","Hans Zimmer",https://www.shazam.com/track/162170101/cornfield-chase,162170101
42,2022-06-28,"Rover (DuckHead Remix)","S1mba Feat. DTG",https://www.shazam.com/track/616043160/rover-duckhead-remix,616043160
43,2022-06-27,"Despacito","Uncle Noon",https://www.shazam.com/track/554999316/despacito,554999316
44,2022-06-27,"The Search","NF",https://www.shazam.com/track/469294460/the-search,469294460
45,2022-06-07,"Battle Royale (Feat. Panther) [VIP]","Apashe",https://www.shazam.com/track/111144896/battle-royale-feat-panther-vip,111144896
